id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Midnight Jazz,Blue Notes,jazz,relaxed,0.45,95,0.68,0.51,0.87
12,Electric Dreams,Synth Wave,synthwave,moody,0.78,115,0.52,0.75,0.19
13,Beach Vibes,Sunny Days,reggae,happy,0.65,100,0.79,0.71,0.68
14,Mountain Echo,Folk Souls,folk,peaceful,0.32,85,0.72,0.48,0.91
15,Urban Pulse,City Lights,hip-hop,energetic,0.88,128,0.68,0.84,0.12
16,Ocean Waves,Nature Sounds,ambient,chill,0.25,55,0.63,0.38,0.95
17,Neon Nights,Retro Vibes,synthwave,intense,0.85,135,0.55,0.79,0.15
18,Golden Hour,Acoustic Hearts,acoustic,happy,0.58,102,0.82,0.65,0.88
19,Basement Beats,Underground,electronic,focused,0.72,120,0.48,0.81,0.08
20,Rainy Afternoon,Chill Collective,lofi,relaxed,0.38,75,0.61,0.59,0.84
21,Techno Pulse,Digital Soul,techno,intense,0.89,140,0.46,0.87,0.06
22,Sunset Boulevard,Indie Souls,indie,happy,0.71,118,0.78,0.74,0.42
23,Deep Meditation,Zen Masters,ambient,peaceful,0.20,50,0.70,0.35,0.93
24,Street Freestyle,Rap Kings,rap,energetic,0.86,125,0.64,0.82,0.14
25,Starlight Serenade,Vocal Dreams,soul,relaxed,0.52,92,0.81,0.67,0.76
26,Crystal Waves,Dream Waves,ambient,peaceful,0.22,52,0.68,0.36,0.94
27,Summer Breeze,Tropical Beats,pop,happy,0.79,116,0.86,0.81,0.22
28,Neon Glow,Synth Kings,synthwave,moody,0.82,125,0.51,0.77,0.18
29,Forest Serenity,Nature Folk,folk,peaceful,0.28,80,0.74,0.45,0.93
30,Urban Rhythm,City Groove,hip-hop,energetic,0.84,130,0.66,0.86,0.11
31,Midnight Stars,Dream Pop,indie pop,happy,0.73,120,0.79,0.75,0.38
32,Chill Sessions,Lo-Fi Beats,lofi,chill,0.39,76,0.57,0.61,0.79
33,Rock Anthem,Thunder Road,rock,intense,0.89,150,0.52,0.68,0.09
34,Sunday Morning,Acoustic Vibes,acoustic,happy,0.55,100,0.81,0.62,0.87
35,Deep House,Electronic Pulse,electronic,focused,0.70,122,0.49,0.80,0.10
36,Jazz Cafe,Blue Quartet,jazz,relaxed,0.43,93,0.70,0.52,0.86
37,Island Paradise,Reggae Vibes,reggae,happy,0.68,102,0.80,0.72,0.66
38,Silent Night,Ambient Life,ambient,chill,0.24,58,0.64,0.39,0.94
39,Thunder Strike,Rock Kings,rock,intense,0.92,155,0.47,0.65,0.08
40,Pop Sensation,Chart Toppers,pop,happy,0.81,120,0.85,0.80,0.19
41,Techno Rush,Digital Beats,techno,intense,0.91,145,0.44,0.89,0.05
42,Soul Journey,Soul Voices,soul,relaxed,0.50,90,0.82,0.65,0.75
43,Hip Hop Flow,Rap Masters,rap,energetic,0.87,127,0.65,0.84,0.13
44,Indie Electric,Indie Dreams,indie,happy,0.74,119,0.79,0.73,0.40
45,Lofi Dreams,Study Beats,lofi,focused,0.41,79,0.58,0.59,0.81
46,Synth Pop,Wave Riders,synthwave,moody,0.80,118,0.53,0.76,0.20
47,Folk Melody,Acoustic Dreams,folk,peaceful,0.30,82,0.73,0.46,0.92
48,Pop Party,Party Masters,pop,happy,0.84,124,0.87,0.82,0.17
49,Electronic Vibe,Synth Lab,electronic,focused,0.73,125,0.50,0.82,0.09
50,Jazz Standards,Classic Jazz,jazz,relaxed,0.44,92,0.69,0.50,0.88
51,Beach Party,Summer Hits,pop,happy,0.80,122,0.83,0.79,0.23
52,Night Club,Dance Kings,electronic,intense,0.88,135,0.52,0.85,0.07
53,Chill Vibes,Relaxation Station,lofi,chill,0.37,74,0.59,0.60,0.83
54,Rock Classics,Classic Rock,rock,intense,0.90,148,0.50,0.67,0.10
55,Ambient Space,Space Sounds,ambient,peaceful,0.23,56,0.66,0.37,0.95
56,Soul Serenade,Soul Singers,soul,relaxed,0.51,91,0.80,0.66,0.74
57,Pop Hit,Chart Climbers,pop,happy,0.82,121,0.84,0.81,0.20
58,Reggae Rhythm,Caribbean Beats,reggae,happy,0.66,101,0.78,0.70,0.67
59,Indie Sunshine,Sunshine Indie,indie pop,happy,0.75,122,0.80,0.76,0.36
60,Lofi Hip Hop,Study Friends,lofi,focused,0.40,78,0.60,0.58,0.80
61,Synthwave Night,Neon Nights,synthwave,moody,0.81,120,0.52,0.78,0.19
62,Folk Song,Rural Tales,folk,peaceful,0.29,83,0.71,0.47,0.91
63,Hip Hop Beats,Beat Masters,hip-hop,energetic,0.86,129,0.67,0.85,0.12
64,Techno Beat,Techno Queens,techno,intense,0.90,142,0.45,0.88,0.06
65,Jazz Improvisation,Jazz Masters,jazz,relaxed,0.46,94,0.68,0.51,0.87
66,Pop Dance,Dance Pop,pop,happy,0.83,123,0.86,0.83,0.18
67,Electronic Music,Electronic Kings,electronic,focused,0.71,123,0.51,0.81,0.09
68,Ambient Meditation,Meditation Sounds,ambient,peaceful,0.21,54,0.67,0.36,0.96
69,Rock Power,Hard Rock,rock,intense,0.93,152,0.49,0.66,0.09
70,Acoustic Beauty,Acoustic Songs,acoustic,happy,0.56,101,0.81,0.64,0.86
71,Soul Music,Soul Classics,soul,relaxed,0.49,89,0.79,0.64,0.76
72,Rap Flow,Rap Queens,rap,energetic,0.85,126,0.63,0.83,0.15
73,Indie Folk,Folk Indie,indie,peaceful,0.33,87,0.75,0.50,0.89
74,Lofi Chill,Chill Study,lofi,chill,0.36,72,0.61,0.57,0.84
